CName,ContextKey,MemberCode,IsRowKey,DefaultValue
A01.04_001_032,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalInstruments.AIFMPrincipalInstrument[1],AggregatedValueAmount,0,
A01.04_002_030_xkey,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalInstruments.AIFMPrincipalInstrument[2],Ranking,1,2
A01.04_002_031,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalInstruments.AIFMPrincipalInstrument[2],SubAssetType,0,
A01.04_002_032,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalInstruments.AIFMPrincipalInstrument[2],AggregatedValueAmount,0,
A01.04_003_030_xkey,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalInstruments.AIFMPrincipalInstrument[3],Ranking,1,3
A01.04_003_031,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalInstruments.AIFMPrincipalInstrument[3],SubAssetType,0,
A01.04_003_032,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalInstruments.AIFMPrincipalInstrument[3],AggregatedValueAmount,0,
A01.04_004_030_xkey,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalInstruments.AIFMPrincipalInstrument[4],Ranking,1,4
A01.04_004_031,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalInstruments.AIFMPrincipalInstrument[4],SubAssetType,0,
A01.04_004_032,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalInstruments.AIFMPrincipalInstrument[4],AggregatedValueAmount,0,
A01.04_005_030_xkey,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalInstruments.AIFMPrincipalInstrument[5],Ranking,1,5
A01.04_005_031,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalInstruments.AIFMPrincipalInstrument[5],SubAssetType,0,
A01.04_005_032,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalInstruments.AIFMPrincipalInstrument[5],AggregatedValueAmount,0,
A01.05_033_010,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription,AUMAmountInEuro,0,
A01.05_034_010,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMBaseCurrencyDescription,AUMAmountInBaseCurrency,0,
A01.05_035_010,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMBaseCurrencyDescription,BaseCurrency,0,
A01.05_036_010,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMBaseCurrencyDescription,FXEURReferenceRateType,0,
A01.05_037_010,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMBaseCurrencyDescription,FXEURRate,0,
